Latitude;Longitude
60.3939369;22.3987085
61.4750217;23.944436
63.5217598;22.5303558
60.4020458;25.0172651
62.9692977;23.0046715
61.6333168;21.4166604
64.9815866;25.2677863
62.2526535;25.7562595
62.6186363;29.7631139
61.4922646;21.7138856
62.3321883;27.9149876
60.251806;24.8806928
60.8188564;24.6227697
60.1680628;24.6784426
65.1877286;25.3620106
60.266985;25.100008
64.9916455;25.5310738
61.0127025;24.4814735
60.9694643;25.6378303
61.4599799;23.6691086
60.1786116;24.8536462
61.6802724;24.3746108
60.1579904;24.9126423
60.4028858;25.1075248
60.2370959;24.7719897
60.3073156;25.0200198
61.4514776;23.8315779
60.2322487;24.885951
63.1141149;21.6822203
60.6179385;21.6940225
62.7839407;22.8545064
59.9786067;23.4447715
60.1574374;24.6696807
60.1275651;24.6796284
60.2839349;24.9257539
65.0244426;25.530173
61.0747182;28.2877904
60.3712551;24.848872
60.2280594;24.8629764
63.2352258;29.2573033
61.0596394;25.193551
60.193324;24.9403249
60.1646068;24.9462116
60.4878211;22.2663044
65.1232252;25.7414784
63.1666759;22.8203078
62.6120045;25.7272367
60.7437281;24.7790414
60.2211777;24.9371475
60.1861865;24.7973183
62.2973504;27.1446324
64.9337234;25.3556838
60.1989078;24.9632533
65.0158829;25.4773279
60.1949914;24.6737462
60.94712;24.581571
60.7930553;23.4823604
60.2107646;24.0116086
60.242428;25.1102196
60.5540111;27.0286666
61.3112778;23.7510785
60.241372;24.8439018
63.1074237;21.5867276
53.2957063;-3.8357111
60.1914441;24.9469479
60.2607404;24.8869819
61.4941416;23.9209572
60.4500053;22.307669
60.256322;24.80618
61.532301;23.6527868
60.2200527;25.1300905
60.3238389;25.0655771
61.0562796;25.5032123
64.9988471;25.5956772
60.2290536;24.9983642
61.2023181;26.0363117
62.3907029;21.2292021
60.1666474;24.9697
60.0908461;24.3940523
60.2285996;24.744829
62.4899577;21.7260703
60.5241484;24.7675285
61.4158548;29.0389092
61.5984219;23.5594112
60.2365314;24.6456084
60.5251294;22.5013272
60.4661696;22.1411783
61.0723967;25.0358841
66.5106995;25.6635871
61.5004227;23.7572061
60.1725622;24.9472419
63.0550603;24.5625658
61.5052455;23.6988755
62.9130595;27.6462119
60.3932465;25.6767917
60.169795;24.9419824
60.1729891;24.7106264
60.1768943;24.7248526
61.4937367;23.7440921
68.6626055;27.5668576
